airline,review_score,review_date,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,has_layover,pos_neu_neg_review,recommended
Turkish Airlines,7.0,2019-05-08,Business,Economy Class,London to Izmir via Istanbul,2019-05-01,4.0,5.0,4.0,4.0,2.0,4.0,True,pos,True
Turkish Airlines,2.0,2019-05-07,Family Leisure,Economy Class,Istanbul to Bucharest,2019-05-01,4.0,1.0,1.0,1.0,1.0,1.0,False,neg,False
Turkish Airlines,3.0,2019-05-07,Business,Economy Class,Rome to Prishtina via Istanbul,2019-05-01,1.0,4.0,1.0,3.0,1.0,2.0,True,neg,False
Turkish Airlines,10.0,2019-05-06,Solo Leisure,Economy Class,Washington Dulles to Karachi,2019-04-01,4.0,5.0,5.0,5.0,5.0,5.0,False,pos,True
Turkish Airlines,1.0,2019-05-06,Solo Leisure,Economy Class,Mumbai to Dublin via Istanbul,2019-05-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,2.0,2019-05-05,Couple Leisure,Economy Class,Istanbul to Budapest via Dublin,2019-05-01,3.0,3.0,5.0,3.0,1.0,1.0,True,neg,False
Turkish Airlines,2.0,2019-04-29,Solo Leisure,Economy Class,Basel to Cape Town via Istanbul,2019-04-01,3.0,3.0,2.0,3.0,1.0,2.0,True,neg,False
Turkish Airlines,6.0,2019-04-29,Solo Leisure,Economy Class,Abu Dhabi to Luxembourg via Istanbul,2019-04-01,2.0,3.0,3.0,3.0,3.0,3.0,True,neu,True
Turkish Airlines,1.0,2019-04-28,Solo Leisure,Economy Class,Venice to Boston via Istanbul,2019-02-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2019-04-25,Family Leisure,Economy Class,Tehran to New York via Istanbul,2018-10-01,4.0,4.0,4.0,3.0,1.0,1.0,True,neg,False
Turkish Airlines,1.0,2019-04-25,Family Leisure,Economy Class,Dublin to Tel Aviv via İstanbul,2019-04-01,2.0,5.0,4.0,4.0,2.0,3.0,True,neg,False
Turkish Airlines,2.0,2019-04-24,Solo Leisure,Economy Class,Houston to Kiev via Istanbul,2019-03-01,1.0,3.0,2.0,2.0,1.0,1.0,True,neg,False
Turkish Airlines,3.0,2019-04-23,Solo Leisure,Economy Class,Tashkent to Istanbul,2019-04-01,1.0,1.0,3.0,4.0,1.0,1.0,False,neg,False
Turkish Airlines,8.0,2019-04-22,Solo Leisure,Economy Class,Istanbul to Prague,2019-04-01,5.0,5.0,4.0,5.0,4.0,4.0,False,pos,True
Turkish Airlines,5.0,2019-04-21,Solo Leisure,Economy Class,Nakhchivan to Istanbul,2019-04-01,2.0,2.0,3.0,1.0,2.0,3.0,False,neu,True
Turkish Airlines,7.0,2019-04-21,Solo Leisure,Economy Class,London Heathrow to Istanbul,2019-04-01,4.0,3.0,3.0,3.0,4.0,4.0,False,pos,True
Turkish Airlines,8.0,2019-04-20,Solo Leisure,Economy Class,Izmir to Istanbul,2019-04-01,4.0,5.0,4.0,4.0,5.0,5.0,False,pos,True
Turkish Airlines,1.0,2019-04-18,Family Leisure,Economy Class,New Delhi to Cappadocia via Istanbul,2019-04-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,4.0,2019-04-18,Solo Leisure,Economy Class,Baku to Amsterdam via Istanbul,2019-04-01,2.0,3.0,3.0,2.0,2.0,3.0,True,neg,False
Turkish Airlines,2.0,2019-04-17,Couple Leisure,Economy Class,New York JFK to Tel Aviv via Istanbul,2019-03-01,3.0,2.0,1.0,3.0,1.0,2.0,True,neg,False
Turkish Airlines,1.0,2019-04-16,Business,Economy Class,Kathmandu to Berlin via Istanbul,2019-04-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,10.0,2019-04-15,Couple Leisure,Business Class,Montreal to Bucharest via Istanbul,2019-04-01,5.0,5.0,5.0,5.0,5.0,5.0,True,pos,True
Turkish Airlines,5.0,2019-04-13,Solo Leisure,Business Class,Istanbul to Vienna,2019-04-01,2.0,4.0,5.0,3.0,2.0,3.0,False,neu,False
Turkish Airlines,1.0,2019-04-11,Solo Leisure,Economy Class,Atlanta to Amman via Istanbul,2019-03-01,1.0,3.0,3.0,2.0,1.0,1.0,True,neg,False
Turkish Airlines,9.0,2019-04-11,Solo Leisure,Economy Class,Istanbul to Manchester,2019-04-01,4.0,5.0,4.0,4.0,4.0,5.0,False,pos,True
Turkish Airlines,1.0,2019-04-06,Couple Leisure,Economy Class,Mumbai to Istanbul,2019-04-01,1.0,1.0,1.0,1.0,1.0,1.0,False,neg,False
Turkish Airlines,6.0,2019-04-06,Business,Business Class,Prague to Istanbul,2019-04-01,3.0,4.0,5.0,3.0,1.0,4.0,False,neu,True
Turkish Airlines,2.0,2019-04-02,Solo Leisure,Economy Class,Amsterdam to Bangkok via Istanbul,2019-03-01,1.0,1.0,5.0,5.0,1.0,1.0,True,neg,False
