Date,Author,Verified,Helpful,Title,Rating,Variation,Style
"Reviewed in the United States on July 13, 2024",NadineNadine,yes,-,Too tasty,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 13, 2024",Customer,yes,-,Not good!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 12, 2024",Addie,yes,-,Amazing quality,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 12, 2024",Heather L.,yes,-,My Puppy Loves It!,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 6, 2024",Ann,yes,-,Note description inaccuracy before buying,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 23, 2024",Amy,yes,-,Not long lasting,2,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 22, 2024",Amazon Customer,yes,-,Cheeeeeeeese!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 21, 2024",Amazon Customer,yes,-,Warning. Smell before giving to your dog.,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 15, 2024",Mikquel Severson,yes,-,Small,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 8, 2024",Unknown,yes,-,Loveeee,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 7, 2024",David Baltz,yes,-,This is not at all what I thought it was going to be,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 1, 2024",kldkim,yes,-,Great for heavy chewers,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 30, 2024",Corinne Solomon,yes,-,Best dog chews,5,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 23, 2024",Amazon Customer,yes,-,Received broken in pieces,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 22, 2024",Amazon CustomerAmazon Customer,yes,-,To small,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 21, 2024",Ani,yes,-,Awful!!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 19, 2024",Rachel,yes,-,This product made my dog sick,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 18, 2024",Amazon Customer,yes,-,My dog loves these but they sometimes make her sick,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 14, 2024",CristinaG,yes,-,Dogs like it,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 13, 2024",Rob Smith,yes,-,Great for 13 lb yorkie.,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 9, 2024",Shannon Ritter,yes,-,Smaller than I thought,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 7, 2024",Ann Hartman,yes,-,I saw these amazing reviews.,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 27, 2024",islandbob,yes,-,Choked,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 19, 2024",StephanieStephanie,yes,-,Horribly inconsistent,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 17, 2024",Lindsay Thomas,yes,-,Not for heavy chewers,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 7, 2024",AnnaAnna,yes,-,My dog didn’t like it,3,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 3, 2024",mgmg,yes,yes,Very tasty … to my Boxer,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 2, 2024",Vault219Vault219,yes,-,Don’t bother if you pup doesn’t like yak cheese,4,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 26, 2024",MM,yes,-,Great but pricey,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 17, 2024",Todd M Peterson,yes,-,Good price. Arrived promptly.,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 14, 2024",Ahcali,yes,-,My pupperoni loves these,5,B081LYFK6W,Flavor Name: Chicken | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 5, 2024",Sports Mom,yes,-,Puppy loves these!,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 3, 2024",Need to knowNeed to know,yes,-,Not as pictured.,2,B081LYFK6W,Flavor Name: Chicken | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 3, 2024",Lj,yes,yes,Dog loves these,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 26, 2024",Amazon CustomerAmazon Customer,yes,-,Bad product,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 25, 2024",LadyPegasus,yes,-,Not what I expected,1,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 24, 2024",Lara P.,yes,-,Broken,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 24, 2024",Nicole Roach,yes,-,Dog chewed up in 2hrs,1,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 23, 2024",Cope001Cope001,yes,-,Moldy Chew,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
