"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on July 13, 2024","NadineNadine","yes","-","Too tasty","We've had yak cheese treats from other companies before and they've always lasted for weeks. Gordy would nibble them for a bit and then walk away. I was hoping this would last her at least a bit longer, since she's a power chewer. Nope, within an hour the whole stick was gone. Obviously I ordered another one, because I can't deny her something she loves this much. Princess Gordy approves of these snakkos!",5,"https://m.media-amazon.com/images/I/715pxYHkmCL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1U7AA9U1YPJBV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B001J9SUHG","Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)"
"Reviewed in the United States on July 13, 2024","Customer","yes","-","Not good!","Our dog LOVES these BUT he’s been hacking ever since he started this one!  The color appears to be a bit darker than usual. Throwing it away!",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1CX7ON913842P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B001J9SUHG","Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)"
"Reviewed in the United States on July 12, 2024","Addie","yes","-","Amazing quality","In the past we've bought other Himalayan chews but none compare to this brand!  It's beyond durable (lasts almost a week), great puff treat when almost gone, and is actually made of only cheese. 10/10 would recommend to anyone.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1GVOW2IWFAY34/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B001J9SUHG","Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)"
"Reviewed in the United States on July 12, 2024","Heather L.","yes","-","My Puppy Loves It!","I have a 5 month old Pit/Pointer mix. I gave him one of these (plain) about a month ago and it took him that time to whittle it down. I ordered another one (bacon) and gave it to him last night. Well, It's about 2/3 gone as of today. I am now looking for bigger ones since giving him something that is $8 and it only lasting a day or two isn't economically feasible.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2C2WLXWSVYJTS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B08BQ2JK7M","Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)"
"Reviewed in the United States on July 6, 2024","Ann","yes","-","Note description inaccuracy before buying","Bone is of good quality. Just be aware this is not for a 65 lb and under dog but rather a 55 lb and under. Description says 65 but packaging says 55. My dog is 60 so had I noticed, I would have bought the larger one. So will go through this one more quickly. That said, the dog likes it.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R3PWWBCP3WQA5L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B001J9SUHG","Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)"
"Reviewed in the United States on June 23, 2024","Amy","yes","-","Not long lasting","I got these bc other Himalayan dog chews have lasted weeks and weeks for my 8 month old heavy French chewing bulldog. I got the medium size the first time. He finished the whole thing in 30 minutes. I got the bacon flavor and he loved it. I also got the large size, thinking it might last longer. It was almost the same size as the medium and didn’t last any longer.It’s a treat my dog likes, but for the money, it’s expensive for a 30 minute treat. Does not last like other Himalayan dog chews.",2,"-","-","https://www.amazon.com/gp/customer-reviews/R3O039Z4NXW2P5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B08BQ2JK7M","Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)"
"Reviewed in the United States on June 22, 2024","Amazon Customer","yes","-","Cheeeeeeeese!","My dog LOVES this cheese. She is obsessed with it! I will always purchase this for her!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R38IFGSJ7K33W2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B001J9SUHG","Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)"
"Reviewed in the United States on June 21, 2024","Amazon Customer","yes","-","Warning. Smell before giving to your dog.","Third time ordering this product. No issues the first two times. Today I received my dog chew and upon opening it smelled VERY STRONGLY of mildew. I noticed a spot on it about the size of a pencil eraser that was off color, but didn’t look like mold.  I immediately went online to return it and found out that it is not returnable. I contacted customer service and they said that due to the nature of the issue they would refund the amount paid. Thank goodness I noticed the smell before giving it to my dog!!  I’m gun-shy now so I went to get one at my local Pet Smart (absolutely no scent and same price) They told me that they would refund if there were any issues with it.  I think I am going to stick with buying these at Per Smart from now on because I won’t have a day or two delay if there is an issue.  My dog loves these by the way. If you buy them give them the smell test before giving them to your dog.",2,"-","-","https://www.amazon.com/gp/customer-reviews/R1X0XCQY0QWEEQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B001J9SUHG","Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)"
"Reviewed in the United States on June 15, 2024","Mikquel Severson","yes","-","Small","I was not a big fan of this brand compared to others.  The large in this brand was a bit smaller than the current brand I usually get by about an inch and a half.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R23J61DD7D49MY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B001J9SUHG","Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)"
"Reviewed in the United States on June 8, 2024","Unknown","yes","-","Loveeee","Last a week for my dog, she loves itEntertains her all day",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2F299RZBWRFYY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B081LYFK6W","B001J9SUHG","Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)"
