,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Keyword 0,Possibiliy 0,Keyword 1,Possibiliy 1,Keyword 2,Possibiliy 2,Keyword 3,Possibiliy 3,Keyword 4,Possibiliy 4,Keyword 5,Possibiliy 5,Keyword 6,Possibiliy 6,Keyword 7,Possibiliy 7,Keyword 8,Possibiliy 8,Keyword 9,Possibiliy 9
0,"('scissors', 0.06353310840176161)","('cut', 0.0903527512714774)","('pair', 0.09226555312598674)","('sharp', 0.18532735056101257)","('plastic', 0.09925702952037319)","('handle', 0.10854214946592386)","('plastic', 0.07687430103609974)","('rust', 0.15368291429128733)","('used', 0.08587778261888868)","('well', 0.13453075696400543)",scissors, 0.06353310840176161,cut, 0.0903527512714774,pair, 0.09226555312598674,sharp, 0.18532735056101257,plastic, 0.09925702952037319,handle, 0.10854214946592386,plastic, 0.07687430103609974,rust, 0.15368291429128733,used, 0.08587778261888868,well, 0.13453075696400543
1,"('small', 0.061632764474384524)","('paper', 0.08648592558761636)","('broke', 0.07281261797369916)","('de', 0.11027813375988364)","('scissors', 0.06089349723156738)","('broke', 0.08794337071052048)","('blades', 0.07269992232293698)","('rusted', 0.12755738274391637)","('food', 0.07875554215385235)","('cutting', 0.1336760746778872)",small, 0.061632764474384524,paper, 0.08648592558761636,broke, 0.07281261797369916,de, 0.11027813375988364,scissors, 0.06089349723156738,broke, 0.08794337071052048,blades, 0.07269992232293698,rusted, 0.12755738274391637,food, 0.07875554215385235,cutting, 0.1336760746778872
2,"('sharp', 0.05105498613756051)","('fabric', 0.07830347697979075)","('one', 0.058556671356032854)","('el', 0.07288244841028348)","('broke', 0.051829516676705614)","('apart', 0.07918188898288961)","('crack', 0.049990746603705255)","('titanium', 0.08533131473888701)","('day', 0.07281153760037855)","('blades', 0.12063643360462357)",sharp, 0.05105498613756051,fabric, 0.07830347697979075,one, 0.058556671356032854,el, 0.07288244841028348,broke, 0.051829516676705614,apart, 0.07918188898288961,crack, 0.049990746603705255,titanium, 0.08533131473888701,day, 0.07281153760037855,blades, 0.12063643360462357
3,"('hands', 0.04841000056510042)","('scissors', 0.049218191853089205)","('months', 0.05805102946248674)","('many', 0.06377502434466638)","('screw', 0.045411224042124054)","('soap', 0.05704936479011844)","('use', 0.04522065329675926)","('metal', 0.0737215540777565)","('pool', 0.06650442532891175)","('actually', 0.10800378077389486)",hands, 0.04841000056510042,scissors, 0.049218191853089205,months, 0.05805102946248674,many, 0.06377502434466638,screw, 0.045411224042124054,soap, 0.05704936479011844,use, 0.04522065329675926,metal, 0.0737215540777565,pool, 0.06650442532891175,actually, 0.10800378077389486
4,"('fingers', 0.047357741133361955)","('theyre', 0.043799815039725014)","('bought', 0.05128397671156028)","('use', 0.061705274707802564)","('holding', 0.03595859544520434)","('product', 0.04776728743989856)","('months', 0.04409400229102885)","('rusts', 0.07025187171606942)","('chemicals', 0.06650442532891175)","('cut', 0.10682330488867381)",fingers, 0.047357741133361955,theyre, 0.043799815039725014,bought, 0.05128397671156028,use, 0.061705274707802564,holding, 0.03595859544520434,product, 0.04776728743989856,months, 0.04409400229102885,rusts, 0.07025187171606942,chemicals, 0.06650442532891175,cut, 0.10682330488867381
5,"('tip', 0.04478391236280638)","('them', 0.033022287631412774)","('used', 0.04632195547321873)","('its', 0.060008347993619204)","('paper', 0.033977356083938315)","('guess', 0.04283261087813747)","('last', 0.041697111623675086)","('corrosion', 0.07025187171606942)","('garbage', 0.06650442532891175)","('nothing', 0.10351214295549889)",tip, 0.04478391236280638,them, 0.033022287631412774,used, 0.04632195547321873,its, 0.060008347993619204,paper, 0.033977356083938315,guess, 0.04283261087813747,last, 0.041697111623675086,corrosion, 0.07025187171606942,garbage, 0.06650442532891175,nothing, 0.10351214295549889
6,"('cut', 0.03526206180791174)","('well', 0.03259555785471497)","('second', 0.04269646388573011)","('filo', 0.05214884453104094)","('cutting', 0.03187506996790157)","('broken', 0.041265352205837325)","('broke', 0.03929672959329883)","('product', 0.06617442686737539)","('april', 0.06650442532891175)","('thought', 0.09225485946738114)",cut, 0.03526206180791174,well, 0.03259555785471497,second, 0.04269646388573011,filo, 0.05214884453104094,cutting, 0.03187506996790157,broken, 0.041265352205837325,broke, 0.03929672959329883,product, 0.06617442686737539,april, 0.06650442532891175,thought, 0.09225485946738114
7,"('blade', 0.03287080771967175)","('use', 0.030852637353901282)","('scissors', 0.04221026512642739)","('ya', 0.05214884453104094)","('together', 0.03133575217195874)","('ok', 0.041265352205837325)","('handle', 0.037723089097042535)","('think', 0.06377869137195818)","('tarnish', 0.06650442532891175)","('easley', 0.082633700558972)",blade, 0.03287080771967175,use, 0.030852637353901282,scissors, 0.04221026512642739,ya, 0.05214884453104094,together, 0.03133575217195874,ok, 0.041265352205837325,handle, 0.037723089097042535,think, 0.06377869137195818,tarnish, 0.06650442532891175,easley, 0.082633700558972
8,"('fiskars', 0.03134873865396446)","('ive', 0.03016397336122516)","('good', 0.041095612359465315)","('hard', 0.04876908870522351)","('cut', 0.030566430012854504)","('leaking', 0.04081995761567687)","('one', 0.03335855571600742)","('fine', 0.05976672602994377)","('container', 0.06196372954731966)","('separate', 0.082633700558972)",fiskars, 0.03134873865396446,ive, 0.03016397336122516,good, 0.041095612359465315,hard, 0.04876908870522351,cut, 0.030566430012854504,leaking, 0.04081995761567687,one, 0.03335855571600742,fine, 0.05976672602994377,container, 0.06196372954731966,separate, 0.082633700558972
9,"('micro', 0.03038001985860872)","('cheap', 0.02919987669315001)","('lasted', 0.040282000579710625)","('super', 0.04411125350395346)","('handle', 0.02985239986666108)","('back', 0.03991132410416473)","('pairs', 0.031207024526106644)","('first', 0.05976672602994377)","('expensive', 0.0587464184166727)","('special', 0.082633700558972)",micro, 0.03038001985860872,cheap, 0.02919987669315001,lasted, 0.040282000579710625,super, 0.04411125350395346,handle, 0.02985239986666108,back, 0.03991132410416473,pairs, 0.031207024526106644,first, 0.05976672602994377,expensive, 0.0587464184166727,special, 0.082633700558972
