Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on January 28, 2017",BobHBobH,yes,yes,The plastic handles aren't nearly as durable as the titanium blades.,"I like to have scissors in a kitchen drawer, in my desk drawer, in my nightstand, in the bathroom, in the garage, in my storage shed, in my Winnebago -- well, you get the idea. These seemed like the perfect solution -- good scissors at a low price. Well, it's been three months and they work just fine, but I discovered the other day that the plastic covering the handle behind the hinge on the pair in the kitchen draw is broken. I don't know how it happened, but I don't recall trying to cut anything other than the plastic bags that my prescriptions come and similar materials. No cardboard or rugs or sheet metal -- nothing other than lightweight materials that you'd expect to cut with any ordinary pair of scissors. I tried to return them, but the Amazon website says that they're no longer eligible for return. I'll try something else next time.Updated, 3/12/17: My wife tried to trim some threads on the edge of an old dish towel this morning and the second pair of scissors broke into two pieces when the plastic holding the pivot screw snapped. As you can see from the picture, the plastic holding the blade is also cracked. I guess the titanium blades would still make pretty good ice pics, but when was the last you needed a pair of ice pics?",2,"https://images-na.ssl-images-amazon.com/images/I/71JnVJGVhEL.jpg , https://images-na.ssl-images-amazon.com/images/I/71boTaBICcL.jpg",-,https://www.amazon.com/gp/customer-reviews/R1I8FL1KSHVCMD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on May 29, 2014",F. RozaF. Roza,yes,yes,Broken at first cut,"If you are a left-handed person you know how hard it is to find good comfortable left-handed pair of scissors that work properly. Well, I was hopeful about these, what could go wrong with titanium blades right? Well, as I quickly found out, a lot. So I take scissors out of the package, and proceeded to cut the package of the other item on my order. It was a simple plastic package, and without offering any resistance one of the blades simply came of, broken in two pieces. A piece of the plastic encasing of the handle also chipped and broke. So I am returning these and back to square ZERO, trying to find a pair that works.This pair had potencial, the yellow grip inside was comfortable. Pair was light weight. But it needed to perform this very basic, mundane task, which is cut plastic packages. It failed miserably. :-(",1,https://images-na.ssl-images-amazon.com/images/I/61iGp47aeLL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1ZSJLD4D0W6UM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on June 27, 2017",Alex GodofskyAlex Godofsky,yes,yes,Broke on first use,The very first time I used one of these - to cut open some ordinary plastic packaging - the blade snapped off at the hinge.,1,https://images-na.ssl-images-amazon.com/images/I/61x2KzoaIhL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1HV37KMM4ZEBJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on June 5, 2017",Bruce LabittBruce Labitt,yes,yes,Broke in first use,Blade snapped in half on first use.  Disappointed.  Returning for refund.,1,https://images-na.ssl-images-amazon.com/images/I/81mvFm8WJ8L.jpg,-,https://www.amazon.com/gp/customer-reviews/R1AMN870KM2PT6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on December 3, 2017",KatieKatie,yes,yes,Plastic glued together. Breaks easily.,"Obviously this is an issue, because coming here to leave a review, a lot of recent reviews are the same thing. The screw is just there for decoration. It is encased in plastic from one side and glued to the other. Cheap and not well made. Mine broke while cutting paper!",1,https://images-na.ssl-images-amazon.com/images/I/71U+uUyKwrL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1Z5QLMUKLH4K0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on October 7, 2014",D. C Frezza,yes,yes,Worked well for a short time then broke. Cheap plastic holding the blades together.,"Screw is held in by plastic. Once the scissors start to loosen up they're gone. The screw will tighten up a couple times then strip. Once the two blades came apart I could see there wasn't any metal nut or threads to hold the screw, just the plastic nut molded into the handle.",1,-,-,https://www.amazon.com/gp/customer-reviews/R20TT99869O1XJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on August 20, 2017",James TJames T,yes,yes,One Star,Didn't last long. A pair broke while cutting a plastic card. I've had Dura Sharp (similar scissors) for years and they have never failed.,1,https://images-na.ssl-images-amazon.com/images/I/71OKEKW1niL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3G7XM3XLAD0W2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on October 23, 2015",G.C.TempestG.C.Tempest,yes,yes,Broken from First Cut,The titanium scissor broke half way through the first cut.  Obviously I can not recommend these.,1,https://images-na.ssl-images-amazon.com/images/I/61ZkAA6Z5aL.jpg,-,https://www.amazon.com/gp/customer-reviews/RC6BH98ORUHKB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on July 5, 2019",HHalibut,yes,yes,Warranty not honored -- These scissors are crap,"In less than six months, one pair broke in half at the pin when I was clipping a coupon. Three requests for a replacement were not met with any response. Poorly made scissors and the lifetime warranty is bull. This is a company that doesn't care about the consumer.",1,-,-,https://www.amazon.com/gp/customer-reviews/R1XPPH6LMOJ831/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on October 15, 2019",Alpha Group ConsultingAlpha Group Consulting,yes,yes,Best scissors I have ever owned,"This is my third time ordering this brand of scissors in the heavy duty version and it won't be my last. I do enjoy writing reviews on products to help other possible buyers know what their getting but I never thought I would review a pair of scissors lol. I use them for EVERYTHING! I have one pair strictly for cutting coupons (3 years old and still as sharp as the day I bought them). I have a pair I keep in the kitchen that get used for everything from breaking down boxes for recycling to opening those horrible blister packs that everything come in and also opening other plastic packaging. I also have a pair I use for food. I have found that these are much better for preparing and cutting food then the expensive ones I purchased from a culinary store. Lastly I keep a pair in my garage that honestly have been beaten to hell and back and still work great. None of them have ever rusted, I have never sharpened any of them and the molded handles are extremely comfortable. I can not praise these enough. On top of that you get a lifetime warranty (which I haven't had to use).Bottom line is if your looking for the best pair of scissors you can get these are them.",5,"https://images-na.ssl-images-amazon.com/images/I/711PF8F4-yL.jpg , https://images-na.ssl-images-amazon.com/images/I/71DS3rDHV3L.jpg , https://images-na.ssl-images-amazon.com/images/I/71YP9AJvaiL.jpg , https://images-na.ssl-images-amazon.com/images/I/818oYXFjx8L.jpg , https://images-na.ssl-images-amazon.com/images/I/81RCh-WxMpL.jpg , https://images-na.ssl-images-amazon.com/images/I/81TjjRDCrjL.jpg",-,https://www.amazon.com/gp/customer-reviews/R3FAMJK2GA66D7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
